
Tracing route to indeed.com [162.159.130.67]
over a maximum of 30 hops:

  1     2 ms     3 ms     1 ms  10.0.0.1 
  2    14 ms    15 ms    12 ms  96.120.12.253 
  3    24 ms    10 ms    12 ms  96.110.195.29 
  4    27 ms    17 ms    14 ms  162.151.50.249 
  5     *        *        *     Request timed out.
  6    13 ms    11 ms    17 ms  96.110.33.138 
  7     *       13 ms     *     71.25.197.110 
  8     *        *       27 ms  172.68.32.26 
  9    11 ms    11 ms    16 ms  162.159.130.67 

Trace complete.
